portfolio,start_date,end_date,annualized_return,annualized_volatility,max_drawdown,var_95_historical,sharpe_rf_2pct,sortino_rf_2pct,calmar,turnover_pa,hit_rate,cost_drag_pa,avg_core_weight,avg_satellite_weight,avg_nontrad_weight,dsr,gross_minus_net_ann_return
BM1,2000-01-03,2025-12-31,0.0535814122734255,0.0963507188549792,-0.3391445433452612,-0.0094260241269754,0.3485330745063772,0.4893438203809117,0.1579898993653503,0.0554135998341632,0.423767082590612,2.770679991708064e-05,1.0,0.0,0.0,,2.9198982657518968e-05
BM2,2003-03-31,2025-12-31,0.0785949641573706,0.0958572253364553,-0.3523146971427419,-0.0088053915558102,0.611273317704581,0.8543949334149152,0.223081707333735,0.0791746370628821,0.453158747300216,3.958731853143821e-05,0.5499999999999998,0.4,0.05,,4.2643358792116e-05
SAA,2000-01-04,2025-12-31,0.0883336114890105,0.1442508925740304,-0.6179162026356735,-0.0086979325991247,0.4737136129257662,0.7149887369428816,0.1429540301941111,0.1915342579672061,0.5017827430473021,9.5767128983587e-05,0.5353168134566004,0.4350422631869051,0.0296409233564974,,0.0001041802704777
SAA+TAA,2003-01-30,2025-12-31,0.1442214245990221,0.1122493473457267,-0.3150906035504397,-0.0098161163029955,1.1066560967737438,1.65111336464843,0.4577141399138394,2.4485213030215944,0.557536231884058,0.0012242606515104,0.4990080154961318,0.3935754411457324,0.1074165433581353,0.9990889872066047,0.0013999711546144
