date,fold_id,regime,optimizer_status,used_fallback,turnover,turnover_cost,ex_ante_vol,active_vol_budget,guardrail_multiplier,p_risk_on,p_neutral,p_stress
2003-01-29,1,risk_on,optimal,0,0.6341392938045702,0.0003170696469022851,0.07889131655038041,0.1,1.0,0.5060601552498696,0.493904258383326,3.558636681299697e-05
2003-02-28,1,risk_on,optimal,0,0.15363474262458476,7.681737131229239e-05,0.07876760365164684,0.1,1.0,0.5041465949432379,0.4958534050161984,4.04692716765262e-11
2003-03-31,1,stress,optimal,0,0.5342012081457131,0.00026710060407285656,0.06672899118137557,0.05,1.0,5.192026057123921e-06,2.83078661345483e-06,0.9999919771872878
2003-04-30,1,risk_on,optimal,0,0.4091714266261004,0.0002045857133130502,0.07560896576415822,0.1,1.0,0.5029962039174307,0.4970029567437869,8.39338665485818e-07
2003-05-30,1,risk_on,optimal,0,0.22446398546986746,0.00011223199273493373,0.07692048069443248,0.1,1.0,0.5037349666093098,0.49626503339083344,6.904831168358523e-14
2003-06-30,1,risk_on,optimal,0,0.2924857432576248,0.00014624287162881238,0.07612505673071657,0.1,1.0,0.5025490970052429,0.49745090093093014,2.063752040353061e-09
2003-07-31,1,neutral,optimal,0,0.4116869011993926,0.0002058434505996963,0.0720514181694322,0.08,1.0,0.49813416767221796,0.500792253250634,0.0010735790773513895
2003-08-29,1,risk_on,optimal,0,0.32721704839352694,0.00016360852419676348,0.07331842946472102,0.1,1.0,0.9999999820138329,1.0721605231427243e-08,7.264552100188086e-09
2003-09-30,1,risk_on,optimal,0,0.3285254160986736,0.0001642627080493368,0.07458032289014825,0.1,1.0,0.5061742106026043,0.49382578939743704,2.37556489724666e-32
2003-10-31,1,risk_on,optimal,0,0.015873386835618154,7.936693417809076e-06,0.07458780428866524,0.1,1.0,0.9999999999281499,4.6139364986691294e-11,2.553744713776569e-11
2003-11-28,1,risk_on,optimal,0,0.11757864197901316,5.8789320989506584e-05,0.07432761101723558,0.1,1.0,0.9999999999427018,4.704482369110816e-11,1.0315863519839077e-11
